safety type region weight
0 Medium        NAmerica     3.395
0 Sport/Utility NAmerica     4.18
0 Medium        NAmerica     3.145
0 Small         NAmerica     2.6
0 Medium        NAmerica     3.085
0 Medium        NAmerica     2.91
0 Sport/Utility NAmerica     4.18
0 Medium        Asia          3.415
0 Medium        NAmerica     3.995
0 Small         NAmerica     2.6
1 Small         NAmerica     2.765
0 Small         Asia          2.665
0 Medium        NAmerica     3.1
0 Medium        NAmerica     3.455
0 Medium        NAmerica     3.055
0 Large         NAmerica     3.45
0 Large         NAmerica     3.64
0 Large         NAmerica     4.195
0 Large         NAmerica     3.985
0 Large         NAmerica     4.48
1 Small         NAmerica     2.765
1 Medium        NAmerica     2.785
1 Medium        NAmerica     2.785
0 Large         NAmerica     4.205
1 Sports        NAmerica     3.35
0 Sports        NAmerica     3.38
0 Sport/Utility NAmerica     5.64
0 Large         NAmerica     3.605
0 Large         NAmerica     3.55
0 Large         NAmerica     3.435
0 Small         NAmerica     3.1
1 Small         NAmerica     2.39
0 Large         NAmerica     3.55
1 Sports        NAmerica     3.235
1 Small         NAmerica     2.565
0 Large         NAmerica     4.01
1 Sports        NAmerica     3.45
1 Sports        NAmerica     2.9
0 Sport/Utility NAmerica     1.44
0 Sport/Utility NAmerica     5.005
0 Sport/Utility NAmerica     5.64
0 Sport/Utility NAmerica     5.343
1 Small         NAmerica     2.51
1 Small         NAmerica     2.065
1 Sport/Utility NAmerica     2.5
1 Small         Asia          2.41
0 Medium        Asia          3.255
1 Sports        Asia          2.865
1 Sports        Asia          2.41
0 Sport/Utility Asia          4.08
0 Medium        Asia          2.865
0 Medium        Asia          3.535
0 Sport/Utility Asia          4.365
0 Sport/Utility Asia          4.08
0 Sport/Utility NAmerica     4.09
0 Sport/Utility NAmerica     3.42
0 Sport/Utility NAmerica     3.21
0 Medium        Asia          3.4
0 Large         NAmerica     4.055
1 Small         Asia          2.895
0 Medium        Asia          2.86
0 Sports        Asia          2.335
0 Sports        Asia          2.865
1 Small         NAmerica     2.535
0 Medium        NAmerica     3.11
0 Large         NAmerica     4.01
1 Small         Asia          2.39
0 Medium        Asia          3.73
1 Medium        Asia          3.025
0 Sports        Asia          3.805
1 Sports        Asia          3.235
1 Small         Asia          2.5
0 Medium        Asia          3.07
1 Medium        Asia          3.05
0 Sports        Asia          3.565
0 Medium        NAmerica     3.1
0 Medium        NAmerica     2.905
0 Medium        NAmerica     3.41
0 Large         NAmerica     3.47
0 Large         NAmerica     3.64
0 Medium        NAmerica     3.035
0 Medium        NAmerica     3.535
0 Large         NAmerica     3.665
1 Sports        NAmerica     3.545
0 Small         NAmerica     2.42
0 Sports        NAmerica     2.42
0 Small         Asia          2.425
0 Medium        Asia          3.04
1 Small         Asia          1.845
1 Sport/Utility Asia          2.805
1 Small         Asia          2.165
1 Small         Asia          2.54
0 Medium        Asia          3.23
1 Medium        Asia          3.32
1 Sports        Asia          2.72
0 Sport/Utility Asia          5.15
