"","x"
"1",2008-09-21 00:30:00
"2",2008-04-19 10:50:00
"3",2008-01-23 16:55:00
"4",2008-11-09 21:00:00
"5",2008-07-14 19:15:00
"6",2008-12-31 13:17:00
"7",2008-10-07 11:16:00
"8",2008-09-25 09:00:00
"9",2008-07-18 11:55:00
"10",2008-04-10 02:00:00
"11",2008-07-11 23:15:00
"12",2008-10-07 16:00:00
"13",2008-11-07 14:36:00
"14",2008-05-10 14:10:00
"15",2008-05-20 22:55:00
"16",2008-08-20 18:30:00
"17",2008-06-24 09:52:00
"18",2008-05-23 18:00:00
"19",2008-08-25 09:45:00
"20",2008-09-08 11:00:00
"21",2008-03-19 17:10:00
"22",2008-03-03 20:40:00
"23",2008-11-09 16:00:00
"24",2008-05-19 10:30:00
"25",2008-07-15 17:00:00
"26",2008-10-29 20:45:00
"27",2008-10-10 18:30:00
"28",2008-05-21 13:50:00
"29",2008-06-27 19:41:00
"30",2008-10-29 14:54:00
"31",2008-07-01 01:00:00
"32",2008-05-01 20:00:00
"33",2008-02-27 15:30:00
"34",2008-09-04 14:50:00
"35",2008-08-07 01:00:00
"36",2008-12-10 09:30:00
"37",2008-02-15 10:09:00
"38",2008-02-02 10:30:00
"39",2008-08-04 10:20:00
"40",2008-02-27 15:15:00
"41",2008-02-04 23:30:00
"42",2008-10-22 16:50:00
"43",2008-03-29 14:05:00
"44",2008-03-07 18:25:00
"45",2008-07-31 16:15:00
"46",2008-05-24 22:00:00
"47",2008-02-29 21:48:00
"48",2008-10-21 20:43:00
"49",2008-09-20 05:36:00
"50",2008-06-19 16:51:00
"51",2008-05-29 14:45:00
"52",2008-09-17 19:49:00
"53",2008-06-19 20:50:00
"54",2008-05-06 17:24:00
"55",2008-01-20 10:16:00
"56",2008-06-21 13:00:00
"57",2008-09-24 01:40:00
"58",2008-12-23 11:30:00
"59",2008-02-12 14:45:00
"60",2008-01-01 06:57:00
"61",2008-09-26 08:15:00
"62",2008-12-12 06:45:00
"63",2008-05-03 10:07:00
"64",2008-09-25 09:32:00
"65",2008-07-22 08:15:00
"66",2008-10-10 10:35:00
"67",2008-06-19 13:10:00
"68",2008-11-25 18:45:00
"69",2008-10-30 07:20:00
"70",2008-05-16 07:58:00
"71",2008-12-18 17:10:00
"72",2008-10-06 22:00:00
"73",2008-12-02 09:07:00
"74",2008-08-24 02:15:00
"75",2008-01-20 20:00:00
"76",2008-01-17 19:00:00
"77",2008-05-07 09:30:00
"78",2008-06-21 21:30:00
"79",2008-03-13 10:30:00
"80",2008-02-28 15:00:00
"81",2008-10-06 15:30:00
"82",2008-04-16 16:20:00
"83",2008-10-31 12:00:00
"84",2008-06-04 22:15:00
"85",2008-07-09 21:00:00
"86",2008-02-21 21:05:00
"87",2008-01-10 15:07:00
"88",2008-03-11 19:57:00
"89",2008-04-03 11:10:00
"90",2008-12-20 11:25:00
"91",2008-05-05 15:00:00
"92",2008-09-24 15:45:00
"93",2008-06-26 12:28:00
"94",2008-01-22 17:55:00
"95",2008-07-22 18:45:00
"96",2008-01-25 20:10:00
"97",2008-09-25 08:30:00
"98",2008-10-08 22:20:00
"99",2008-12-24 14:00:00
"100",2008-03-22 16:40:00
"101",2008-03-17 12:30:00
"102",2008-08-30 15:30:00
"103",2008-08-20 22:30:00
"104",2008-06-16 14:59:00
"105",2008-08-09 21:36:00
"106",2008-10-03 19:10:00
"107",2008-07-11 10:00:00
"108",2008-02-05 07:37:00
"109",2008-01-18 21:35:00
"110",2008-08-14 19:20:00
"111",2008-12-29 09:00:00
"112",2008-01-09 14:15:00
"113",2008-05-21 22:00:00
"114",2008-05-13 14:40:00
"115",2008-02-27 19:35:00
"116",2008-12-07 01:10:00
