Zipcode,Male,Female
 01003  , 1  , 0  
 01106  , 0  , 1  
 01376  , 1  , 0  
 01450  , 1  , 2  
 01581  , 0  , 2  
 01609  , 0  , 1  
 01701  , 0  , 1  
 01702  , 0  , 1  
 01718  , 0  , 1  
 01720  , 1  , 0  
 01730  , 1  , 0  
 01742  , 1  , 0  
 01748  , 1  , 0  
 01757  , 1  , 0  
 01776  , 1  , 1  
 01778  , 0  , 1  
 01810  , 0  , 2  
 01821  , 0  , 1  
 01826  , 1  , 0  
 01830  , 0  , 1  
 01844  , 2  , 0  
 01851  , 1  , 0  
 01876  , 2  , 0  
 01880  , 1  , 0  
 01886  , 1  , 1  
 01890  , 0  , 1  
 01907  , 1  , 0  
 01913  , 1  , 0  
 01923  , 0  , 1  
 01940  , 1  , 0  
 01944  , 1  , 0  
 01945  , 2  , 0  
 01960  , 2  , 0  
 02026  , 0  , 1  
 02030  , 0  , 1  
 02035  , 1  , 0  
 02061  , 1  , 0  
 02113  , 0  , 1  
 02114  , 0  , 1  
 02116  , 2  , 1  
 02118  , 2  , 0  
 02121  , 0  , 1  
 02128  , 2  , 0  
 02129  , 2  , 1  
 02138  , 1  , 0  
 02139  , 0  , 1  
 02148  , 1  , 0  
 02149  , 1  , 1  
 02150  , 1  , 0  
 02151  , 0  , 1  
 02152  , 0  , 1  
 02180  , 0  , 1  
 02351  , 1  , 0  
 02446  , 1  , 2  
 02458  , 0  , 2  
 02459  , 1  , 0  
 02465  , 1  , 0  
 02466  , 1  , 0  
 02474  , 1  , 0  
 02478  , 3  , 0  
 02481  , 3  , 0  
 02482  , 0  , 1  
 02492  , 1  , 0  
 02494  , 0  , 1  
 02630  , 1  , 0  
 02648  , 0  , 1  
 02667  , 0  , 0  
 02703  , 0  , 1  
 02791  , 0  , 1  
 02860  , 1  , 0  
 02889  , 0  , 1  
 02896  , 0  , 1  
 02908  , 0  , 1  
 02910  , 0  , 1  
 03038  , 2  , 0  
 03051  , 1  , 0  
 03287  , 0  , 1  
 03801  , 1  , 0  
 03820  , 2  , 1  
 03824  , 1  , 0  
 03865  , 0  , 1  
 04038  , 1  , 0  
 04103  , 1  , 0  
 04652  , 1  , 1  
 06076  , 1  , 1  
 06095  , 0  , 1  
 06109  , 1  , 0  
 06320  , 1  , 2  
 06430  , 2  , 0  
 06447  , 1  , 0  
 06455  , 1  , 0  
 06468  , 1  , 0  
 06516  , 1  , 0  
 06604  , 2  , 0  
 06611  , 1  , 0  
 06757  , 1  , 0  
 06804  , 0  , 1  
 06807  , 1  , 0  
 06810  , 1  , 0  
 06812  , 1  , 0  
 06820  , 6  , 0  
 06830  , 3  , 1  
 06831  , 5  , 0  
