lat,long,location
41.0134944,-73.840166,Ardsley Village
40.7107704,-74.016457,Battery Park City
40.6377299,-74.022898,Bay Ridge
41.2059628,-73.699316,Bedford Town
40.7535006,-73.970032,Beekman
40.6855796,-73.995105,Borough Hall
40.7035904,-74.011471,Bowling Green
41.1407248,-73.840945,Briarcliff Manor Village
41.1789284,-73.846800,Briarcliff Ossining
40.5758323,-73.964509,Brighton Beach
40.8635490,-73.864860,Bronx
40.9392671,-73.826848,Bronxville Village
40.6600000,-73.910000,Brooklyn
41.2634063,-73.945167,Buchanan Village
40.7210206,-74.006800,Canal
40.8266250,-73.884586,Central Bronx
40.7896969,-73.970626,Central Park
40.7453981,-74.000837,Chelsea
40.7104061,-74.002969,City Hall
40.7627712,-73.988104,Columbus Circle
40.7212157,-73.986700,Cooper Square
40.7079036,-74.013214,Cortlandt Town
41.2723569,-73.896212,Cortlandt Town
41.2074457,-73.889899,Croton-on-Hudson Village
40.6629255,-73.920246,Crown Heights
41.0121003,-73.865474,Dobbs Ferry Village
40.9577308,-73.808426,Eastchester Town
41.0540794,-73.814582,Elmsford Village
40.7474820,-73.986386,Empire
40.7487480,-73.993926,Fashion
40.6396260,-73.923078,Flatbush
40.7679094,-73.801199,Flushing
40.8591815,-73.893954,Fordham
40.5970455,-74.093219,Fox Hills
40.6210900,-74.173240,Fresh Kills
40.7063124,-74.004001,Fulton
40.7503105,-73.974884,Grand Central
40.7505454,-73.984313,Greeley Square
41.0334894,-73.818080,Greenburgh Town
40.7295803,-73.996159,Greenwich
40.8133920,-73.945570,Harlem
41.0230164,-73.719783,Harrison Village
40.9903012,-73.875404,Hastings-on-Hudson Village
40.7516981,-73.988346,Herald Square
40.7658760,-73.995002,Hudson
40.7659219,-73.974281,Hunter
41.0346166,-73.859706,Irvington Village
40.7646651,-73.879231,Jackson Heights
40.6894879,-73.760334,Jamaica
40.7453145,-73.977141,Kips Bay
40.9257097,-73.753383,Larchmont Village
40.7700941,-73.963210,Lenox Hill
40.7737829,-73.985359,Lincoln Square
40.7718316,-73.908550,Long Island City
40.7378440,-73.982014,Madison Square
40.9518094,-73.756125,Mamaroneck Town
40.9470858,-73.733427,Mamaroneck Village
40.9470858,-73.733427,Mamaroneck Village (Rye)
40.7665010,-73.976783,Manhattan
40.7157663,-73.893453,Maspeth
41.2059628,-73.699316,Mount Kisco (Town of Bedford)
41.1836958,-73.772931,Mount Kisco (Town of New Castle)
41.2016879,-73.729455,Mount Kisco Village
41.1125065,-73.800569,Mount Pleasant Town
40.9133546,-73.829523,Mount Vernon City
41.1836958,-73.772931,New Castle Town
40.9318587,-73.784705,New Rochelle City
41.1326071,-73.695655,North Castle Town
40.9195200,-73.807240,North Pelham
41.0946600,-73.859766,North Tarrytown Village
40.8723867,-73.835172,Northeast Bronx
40.6016912,-73.978131,Ocean Parkway
41.1645474,-73.858966,Ossining Town
41.1645474,-73.858966,Ossining Village
40.7147672,-74.009797,Park Place
40.6296980,-73.992521,Park Slope
41.2890088,-73.918376,Peekskill City
40.8931708,-73.806713,Pelham Manor Village
40.9115057,-73.807937,Pelham Village
40.7557137,-73.996688,Pennsylvania
40.7629546,-73.978905,Plaza
41.1374967,-73.783865,Pleasantville Village
41.0055297,-73.668635,Port Chester Village
40.6650711,-73.984552,Prospect Park
40.7100000,-73.860000,Queens
40.7358299,-73.824749,Rego Park
40.7011649,-73.926528,Ridgewood
40.8943248,-73.895343,Riverdale
40.7585830,-73.979374,Rockefeller Center
40.7610044,-73.954775,Roosevelt
41.0302568,-73.686957,Rye Brook
41.0024447,-73.689003,Rye City
40.9696628,-73.689089,Rye Town
40.9900103,-73.777848,Scarsdale Village
40.6046303,-73.938622,Sheepshead Bay
40.7338354,-74.005593,Sheridan Square
40.8344693,-73.820312,Southeast Bronx
40.5700000,-74.170000,Staten Island
40.7577767,-73.968594,Sutton
41.0668741,-73.856587,Tarrytown Village
40.7568042,-73.982833,Times Square
40.7838647,-73.950252,Triboro
40.9530111,-73.823520,Tuckahoe Village
40.7565666,-73.976586,Turtle Bay
40.5507555,-74.158659,Wainwright
40.8570278,-73.928477,Washington Heights
40.8212344,-73.914995,West Bronx
41.1183000,-73.733000,Westchester
41.0219032,-73.755286,White Plains City
40.7066617,-73.956244,Williamsburg
40.5991641,-74.134006,Willowbrook
40.5340979,-74.217169,Woodrow
40.9462976,-73.864175,Yonkers City
41.2606708,-73.817688,Yorktown Town
40.7838647,-73.950252,Yorkville












