"","Year","Fatalities","Total","Deaths","Population","Rate","Ban1","Ban2","Assault.Fatalities","Assault.Total","Assault.Rate"
"1",1981,0,0,15089,229465316,0,0,0,0,0,0
"2",1982,0,0,13830,231664211,0,0,0,0,0,0
"3",1983,0,0,12040,233792237,0,0,0,0,0,0
"4",1984,21,40,11815,235825040,17.7740160812526,0,0,21,40,17.7740160812526
"5",1985,0,0,11836,237924038,0,0,0,0,0,0
"6",1986,14,20,13029,240133048,10.7452605725689,0,0,14,20,10.7452605725689
"7",1987,0,0,12657,242289046,0,0,0,0,0,0
"8",1988,0,0,13645,244499040,0,0,0,0,0,0
"9",1989,5,34,14464,246819195,3.45685840707965,0,0,5,34,3.45685840707965
"10",1990,10,14,16218,249464396,6.16598840794179,0,0,0,0,0
"11",1991,26,48,17746,252980942,14.6511890003381,0,0,22,42,12.397159923363
"12",1992,4,14,17488,256514231,2.28728270814273,0,0,0,0,0
"13",1993,14,39,18253,259918595,7.6699720593875,0,0,6,25,3.28713088259464
"14",1994,0,0,17527,263125826,0,1,1,0,0,0
"15",1995,0,0,15551,266278403,0,1,1,0,0,0
"16",1996,0,0,14037,269394291,0,1,1,0,0,0
"17",1997,0,0,13252,272646932,0,1,1,0,0,0
"18",1998,5,15,11798,275854116,4.23800644176979,1,1,5,15,4.23800644176979
"19",1999,36,79,10828,279040238,33.2471370520872,1,1,36,79,33.2471370520872
"20",2000,7,7,10801,282171936,6.48088139987038,1,1,7,7,6.48088139987038
"21",2001,0,0,11348,285081556,0,1,1,0,0,0
"22",2002,0,0,11829,287803914,0,1,1,0,0,0
"23",2003,5,14,11920,290326418,4.19463087248322,1,1,5,14,4.19463087248322
"24",2004,0,0,11624,293045739,0,1,1,0,0,0
"25",2005,9,16,12352,295753151,7.28626943005181,0,2,9,16,7.28626943005181
"26",2006,11,16,12791,298593212,8.59979673207724,0,2,11,16,8.59979673207724
"27",2007,45,70,12632,301579895,35.623812539582,0,2,40,61,31.6656111462951
"28",2008,5,21,12179,304374846,4.10542737498974,0,2,5,21,4.10542737498974
"29",2009,26,62,11493,307006550,22.6224658487775,0,2,26,62,22.6224658487775
"30",2010,8,10,11078,308747508,7.22152012998736,0,2,8,10,7.22152012998736
"31",2011,14,26,11068,311663358,12.6490784242862,0,2,14,26,12.6490784242862
"32",2012,58,125,11622,313998379,49.9053519187747,0,2,58,125,49.9053519187747
"33",2013,17,21,11208,316204908,15.1677373304782,0,2,5,6,4.46109921484654
"34",2014,6,13,11008,318907401,5.45058139534884,0,2,6,13,5.45058139534884
"35",2015,37,74,12979,321418820,28.5075891825256,0,2,19,44,14.6390322829186
"36",2016,54,112,14415,323127513,37.4609781477627,0,2,49,107,33.9923690600069
"37",2017,64,570,15593,327200000,41.0440582312576,0,2,59,559,37.8374911819406
